Player,Team,Minutes,CD,Captures,Grabs,Hold,Drops,Pops,Returns,Tags,Prevent,Pups,Pups Available,Block,Button,Support,Hold Against,K/D,Pup %,Score %,NDPops,NRTags,KF,Hold/Grab,Prevent/Return,Prevent/Hold Against,Long Holds,Flaccids,Handoffs,Good Handoffs,Captures off Handoffs,Quick Returns,Key Returns,Returns in Base,Flaccid %,Chain %,QR %,RIB %,matchId,mapName
W.E.B DuBall,Blue,8.0,-1,0,7,36,7,8,12,15,107,1,14,59,15,25,274,1.88,7.14,0.0,1,3,0,5.14,8.92,0.39,0,1,0,0,0,1,0,2,14.29,0.0,8.33,16.67,3950425,Asida
DaBall 07,Red,8.0,1,3,14,142,11,16,3,4,10,2,14,71,10,30,231,0.25,14.29,21.43,5,1,0,10.14,3.33,0.04,1,1,1,0,0,1,0,2,7.14,0.0,33.33,66.67,3950425,Asida
Mystic,Red,8.0,1,1,10,40,9,11,16,19,67,2,14,116,20,50,231,1.73,14.29,10.0,2,3,0,4.0,4.19,0.29,0,5,2,1,0,5,1,6,50.0,50.0,31.25,37.5,3950425,Asida
Clovis,Blue,8.0,-1,0,8,56,8,10,8,10,124,1,14,55,10,24,274,1.0,7.14,0.0,2,2,0,7.0,15.5,0.45,0,2,2,1,1,2,0,2,25.0,50.0,25.0,25.0,3950425,Asida
Howard,Blue,8.0,-1,1,15,82,14,19,8,9,25,0,14,101,15,43,274,0.47,0.0,6.67,5,1,0,5.47,3.12,0.09,1,5,2,0,0,5,1,6,33.33,0.0,62.5,75.0,3950425,Asida
ankr,Red,8.0,1,0,7,27,7,9,11,12,99,1,14,63,20,28,231,1.33,7.14,0.0,2,1,0,3.86,9.0,0.43,0,3,0,0,0,3,0,3,42.86,0.0,27.27,27.27,3950425,Asida
P-d0g,Red,8.0,1,1,10,65,9,10,7,12,68,4,14,97,40,46,231,1.2,28.57,10.0,1,5,0,6.5,9.71,0.29,0,2,1,0,0,2,0,2,20.0,0.0,28.57,28.57,3950425,Asida
cherryrammer,Blue,8.0,-1,3,12,57,9,13,8,10,32,3,14,100,15,43,274,0.77,21.43,25.0,4,2,0,4.75,4.0,0.12,0,3,3,1,1,3,0,2,25.0,33.33,37.5,25.0,3950425,Asida
rizzmaster,Blue,11.9,1,0,20,117,20,22,12,13,38,2,22,149,0,58,475,0.59,9.09,0.0,2,1,0,5.85,3.17,0.08,1,6,1,0,0,6,1,6,30.0,0.0,50.0,50.0,3950428,A Flaccid Type Map
Better Mamba,Red,11.9,-1,0,7,57,7,8,22,24,88,7,22,121,0,48,453,3.0,31.82,0.0,1,2,0,8.14,4.0,0.19,0,2,0,0,0,2,1,2,28.57,0.0,9.09,9.09,3950428,A Flaccid Type Map
DaBall 07,Red,11.9,-1,0,14,107,14,15,22,24,52,1,22,126,0,50,453,1.6,4.55,0.0,1,2,0,7.64,2.36,0.11,2,5,3,0,0,5,1,5,35.71,0.0,22.73,22.73,3950428,A Flaccid Type Map
Howard,Blue,11.9,1,0,24,149,24,24,17,17,11,1,22,156,0,62,475,0.71,4.55,0.0,0,0,0,6.21,0.65,0.02,1,9,5,0,0,9,3,8,37.5,0.0,52.94,47.06,3950428,A Flaccid Type Map
Matt,Blue,11.9,1,3,10,74,7,12,21,21,71,2,22,82,0,32,475,1.75,9.09,30.0,5,0,0,7.4,3.38,0.15,0,0,0,0,0,0,0,2,0.0,0.0,0.0,9.52,3950428,A Flaccid Type Map
snakes,Red,11.9,-1,0,24,170,24,27,12,14,26,2,22,143,0,56,453,0.52,9.09,0.0,3,2,0,7.08,2.17,0.06,1,7,2,0,0,7,0,9,29.17,0.0,58.33,75.0,3950428,A Flaccid Type Map
P-d0g,Blue,11.9,1,1,13,113,12,13,12,13,78,4,22,111,0,44,475,1.0,18.18,7.69,1,1,0,8.69,6.5,0.16,1,1,2,1,0,1,0,3,7.69,50.0,8.33,25.0,3950428,A Flaccid Type Map
kojiro,Red,11.9,-1,3,20,141,17,18,7,7,29,3,22,141,0,56,453,0.39,13.64,15.0,1,0,0,7.05,4.14,0.06,2,5,2,2,0,5,0,6,25.0,100.0,71.43,85.71,3950428,A Flaccid Type Map
DaBall 07,Red,8.0,3,1,12,71,11,14,2,2,19,0,14,102,0,40,257,0.14,0.0,8.33,3,0,0,5.92,9.5,0.07,0,4,1,0,0,4,0,5,33.33,0.0,200.0,250.0,3950430,Oak
Toidi,Blue,8.0,-3,0,8,23,7,8,11,21,104,5,14,55,0,22,253,2.62,35.71,0.0,1,10,1,2.88,9.45,0.41,0,3,3,3,0,2,0,2,37.5,100.0,18.18,18.18,3950430,Oak
snakes,Red,8.0,3,2,12,71,9,14,9,12,41,3,14,92,0,36,257,0.86,21.43,16.67,5,3,1,5.92,4.56,0.16,1,5,1,0,0,4,0,5,41.67,0.0,44.44,55.56,3950430,Oak
Sambal 1,Blue,8.0,-3,0,17,108,17,19,4,4,42,0,14,114,0,44,253,0.21,0.0,0.0,2,0,0,6.35,10.5,0.17,1,3,1,1,0,3,0,2,17.65,100.0,75.0,50.0,3950430,Oak
Matt,Red,8.0,3,1,9,73,8,9,13,13,78,3,14,46,0,18,257,1.44,21.43,11.11,1,0,0,8.11,6.0,0.3,2,2,0,0,0,2,1,2,22.22,0.0,15.38,15.38,3950430,Oak
~,Red,8.0,3,0,4,38,4,6,25,25,83,1,14,61,0,24,257,4.17,7.14,0.0,2,0,0,9.5,3.32,0.32,1,1,0,0,0,1,2,2,25.0,0.0,4.0,8.0,3950430,Oak
P-d0g,Blue,8.0,-3,1,9,45,8,8,16,16,95,1,14,71,0,28,253,2.0,7.14,11.11,0,0,0,5.0,5.94,0.38,0,2,0,0,0,2,0,3,22.22,0.0,12.5,18.75,3950430,Oak
Howard,Blue,8.0,-3,0,18,81,18,19,0,0,19,1,14,127,0,50,253,0.0,7.14,0.0,1,0,0,4.5,0.0,0.08,0,8,2,0,0,8,0,9,44.44,0.0,0.0,0.0,3950430,Oak
DaBall 07,Red,8.0,-2,0,12,75,12,15,15,15,49,1,14,81,0,32,316,1.0,7.14,0.0,3,0,0,6.25,3.27,0.16,1,3,1,0,0,3,1,5,25.0,0.0,20.0,33.33,3950433,Moon Base 2024
snakes,Blue,8.0,2,1,17,100,16,17,10,12,29,2,14,106,0,42,294,0.71,14.29,5.88,1,2,0,5.88,2.9,0.1,0,6,2,1,1,6,0,7,35.29,50.0,60.0,70.0,3950433,Moon Base 2024
metalhead,Blue,8.0,2,1,8,25,7,11,10,13,58,0,14,93,5,37,294,1.18,0.0,12.5,4,3,0,3.12,5.8,0.2,0,3,2,2,1,3,0,4,37.5,100.0,30.0,40.0,3950433,Moon Base 2024
P-d0g,Blue,8.0,2,1,10,86,8,10,9,12,76,1,14,79,0,30,294,1.2,7.14,10.0,2,3,1,8.6,8.44,0.26,0,2,1,0,0,1,0,3,20.0,0.0,11.11,33.33,3950433,Moon Base 2024
